CustomerID,CustomerSegment,Frequency,FrequencyScore,Monetary,MonetaryScore,Recency,RecencyScore,RFM_SCORE
,Champions,134697,5,1733152.5199992636,5,0,5,555
12346,At Risk,1,1,77183.6,5,326,2,215
12347,Others,182,5,4309.999999999997,5,40,2,255
12348,Others,31,3,1797.24,4,76,1,134
12349,Loyal Customers,73,4,1757.55,4,19,4,444
12350,Others,17,2,334.40000000000003,2,311,2,222
12352,Others,85,4,2506.040000000001,5,73,1,145
12353,Others,4,1,89,1,205,4,411
12354,Others,58,4,1079.4,4,233,3,344
12355,Lost,13,1,459.4,2,96,1,112
12356,Others,59,4,2811.4300000000007,5,23,3,345
12357,Loyal Customers,131,5,6207.669999999996,5,182,4,455
12358,Others,19,2,1168.06,4,3,3,324
12359,Others,248,5,6372.580000000005,5,9,1,155
12360,Others,129,5,2662.0600000000004,5,53,2,255
12361,Others,10,1,189.89999999999998,1,288,3,311
12362,Others,266,5,5226.230000000003,5,30,3,355
12363,Others,23,2,552,3,36,2,223
12364,Others,85,4,1313.1000000000001,4,41,2,244
12365,Others,22,2,641.38,3,292,3,323
12367,Others,11,1,168.9,1,212,4,411
12370,Others,167,5,3545.689999999998,5,52,2,255
12371,Others,63,4,1887.9600000000003,4,30,3,344
12372,Others,52,3,1298.0400000000002,4,35,2,234
12373,Others,14,2,364.6,2,342,2,222
12374,Others,33,3,742.93,3,26,3,333
12375,Potential Loyalist,17,2,457.5000000000001,2,11,5,522
12377,Others,77,4,1628.1199999999997,4,316,2,244
12378,Others,219,5,4008.6200000000013,5,305,2,255
12379,Others,40,3,852.2399999999997,3,82,1,133
12380,Others,104,4,2724.81,5,22,3,345
12381,Loyal Customers,87,4,1845.3100000000006,4,0,5,544
12383,Others,99,4,1850.5599999999997,4,9,1,144
12384,Others,27,2,585.2700000000001,3,29,3,323
12386,Others,10,1,401.90000000000003,2,192,4,412
12388,Loyal Customers,100,4,2780.6600000000003,5,16,4,445
12390,Others,32,3,549.8399999999999,3,80,1,133
12391,Others,100,4,460.88999999999993,2,22,3,342
12393,Others,64,4,1582.6000000000004,4,39,2,244
12394,Potential Loyalist,27,2,1272.48,4,153,4,424
12395,Others,156,5,3018.6299999999987,5,5,2,255
12397,Champions,126,5,2409.9000000000005,5,136,5,555
12398,Others,85,4,1635.6599999999999,4,46,2,244
12399,Loyal Customers,59,4,1108.65,4,2,4,444
12401,Lost,5,1,84.3,1,99,1,111
12402,Others,11,1,225.6,1,324,2,211
12403,Others,5,1,427.7,2,50,2,212
12405,Loyal Customers,54,3,1710.3900000000006,4,149,5,534
12406,Others,105,4,3415.300000000001,5,23,3,345
12407,Others,77,4,1708.1199999999997,4,50,2,244
12408,Loyal Customers,105,4,2888.5500000000006,5,152,4,445
12409,Others,109,4,11072.670000000002,5,65,1,145
12410,Others,26,2,693.3299999999999,3,252,3,323
12412,Others,61,4,1226.8799999999999,4,75,1,144
12413,Loyal Customers,38,3,758.0999999999999,3,192,4,433
12414,Potential Loyalist,18,2,562.41,3,188,4,423
12415,Others,716,5,124914.52999999975,5,25,3,355
12417,Others,192,5,3649.1,5,40,2,255
12418,Loyal Customers,34,3,668.5799999999997,3,113,5,533
12420,Loyal Customers,29,3,600.3900000000001,3,153,4,433
12421,Loyal Customers,45,3,807.0400000000002,3,16,4,433
12422,Loyal Customers,39,3,803.5599999999998,3,169,4,433
12423,Others,125,5,1859.3100000000002,4,89,1,154
12424,Loyal Customers,30,3,1760.9599999999998,4,163,4,434
12425,Others,36,3,777.1999999999999,3,79,1,133
12426,Loyal Customers,30,3,582.7299999999999,3,195,4,433
12427,Others,31,3,825.8000000000002,3,22,3,333
12428,Others,294,5,7956.460000000004,5,26,3,355
12429,Loyal Customers,97,4,3750.400000000001,5,10,5,545
12430,Others,11,1,256.4,2,44,2,212
12431,Loyal Customers,236,5,6487.449999999999,5,2,4,455
12432,Others,108,4,5059.3200000000015,5,43,2,245
12433,Champions,420,5,13375.869999999992,5,10,5,555
12434,Others,50,3,806.14,3,85,1,133
12435,Others,36,3,7829.889999999998,5,80,1,135
12436,Others,16,2,509.01000000000005,3,335,2,223
